Datetime,p15b8k2,p17b8k4,p19b8k6,obs
2018-12-20,-25.524199,-26.98528289794922,-19.58167266845703,2.2145834
2018-12-21,-24.217587,-26.98528289794922,-19.58167266845703,1.8824999
2018-12-22,-26.431005,-25.342967987060547,-18.81096649169922,1.5504167
2018-12-23,-24.657816,-21.724090576171875,-24.594985961914062,1.2183334
2018-12-24,-24.126677,-18.575326919555664,-24.594985961914062,0.88624996
2018-12-25,-21.06527,-16.56060218811035,-18.97821807861328,0.5541667
2018-12-26,-21.029648,-15.91215991973877,-18.552413940429688,0.22208327
2018-12-27,-20.990026,-16.22990608215332,-17.787120819091797,-0.109999955
2018-12-28,-21.621254,-16.942445755004883,-17.787120819091797,-1.0414288
2018-12-29,-20.871252,-16.65860366821289,-16.549917221069336,-1.9728572
2018-12-30,-18.27734,-16.539257049560547,-16.549917221069336,-2.904286
2018-12-31,-17.360466,-13.59973430633545,-19.997669219970703,-3.8357143
2019-01-01,-15.79172,-11.8883638381958,-15.520609855651855,-4.7671432
2019-01-02,-6.6828184,-7.758665084838867,-1.130004644393921,-5.698571
2019-01-03,-0.17421633,-3.0320029258728027,3.173689842224121,-6.6300006
2019-01-04,3.6552076,3.4548285007476807,6.2364501953125,-6.537708
2019-01-05,4.305033,4.85352087020874,4.187711715698242,-6.4454165
2019-01-06,-3.5164208,2.4438271522521973,-18.122323989868164,-6.3531246
2019-01-07,-1.8827081,-5.510497570037842,-18.122323989868164,-6.2608333
2019-01-08,-9.18441,-12.06338119506836,-14.861271858215332,-6.1685414
2019-01-09,-9.781218,-20.674474716186523,-15.068230628967285,-6.07625
2019-01-10,-24.898632,-23.356624603271484,-21.242862701416016,-5.9839582
2019-01-11,-24.88886,-23.890613555908203,-21.242862701416016,-5.891667
2019-01-12,-25.498112,-21.693809509277344,-21.606496810913086,-5.799375
2019-01-13,-23.180656,-24.865745544433594,-21.606496810913086,-5.7070837
2019-01-14,-23.945871,-22.102872848510742,-17.790851593017578,-5.614792
2019-01-15,-23.090788,-20.303951263427734,-25.92115020751953,-5.5225
2019-01-16,-23.148891,-20.303951263427734,-25.92115020751953,-5.430208
2019-01-17,-21.88251,-18.992525100708008,-20.061567306518555,-5.337917
2019-01-18,-24.956543,-29.044921875,-27.3863582611084,-5.245625
2019-01-19,-25.081993,-30.009763717651367,-27.3863582611084,-5.153333
2019-01-20,-28.30235,-30.82244873046875,-20.01283073425293,-5.061042
2019-01-21,-23.674847,-30.82244873046875,-20.01283073425293,-4.96875
2019-01-22,-27.58765,-26.44478988647461,-19.65060806274414,-4.8764586
2019-01-23,-23.143826,-19.133668899536133,-29.802433013916016,-4.7841663
2019-01-24,-13.104404,-16.947092056274414,-23.77790641784668,-4.691875
2019-01-25,-6.041998,-10.7236967086792,-4.825191020965576,-4.599583
